"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","waterfowl.relative.abundance","waterfowl.richness","meanrisk","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","waterfowl.relative.abundance.norm","waterfowl.richness.norm","meanrisk.norm","Area_Ha.norm"
"13",13,10.6655683175,-6.646832068,-2.533874825,17.572016205,4.1656180305,8.799642337,0.086457744,14.162673,29.6886776640376,777.944963508,0.539320160266118,0.813778700637354,0.510443097415578,0.206191223140896,0.540246816637299,0.433388176460642,0.104955376339959,0.537184402547229,0.0254452324945873,0.0179798560692016
"14",14,8.491237163,-7.1010164615,-3.292440474,17.312916685,4.2347206475,8.9655496555,0.167551011,17.16593742,68.1562350892258,392.720858528,0.467933017783632,0.795297662144671,0.489375517700685,0.196147909047546,0.544675070737307,0.447987226896991,0.20339854594917,0.651096995399514,0.058414566907499,0.00907587607663377
"15",15,12.50358737,-6.6438749675,-2.088652038,18.83558164,4.4650786845,9.7489873285,0.187983409,20.96710968,23.257375839349,897.877413291,0.599665580840526,0.813899026850561,0.522808232283436,0.255170026888605,0.559436941793727,0.516925994669689,0.22820245503125,0.795273906740134,0.0199331658399551,0.0207519467029976
"16",16,10.0131606225,-11.295789359,-5.6944338935,18.683700865,4.3295985735,9.42904794,0.207091182,21.88258743,2.65274097207932,610.453551937,0.51790046024331,0.62460980827687,0.422665157289988,0.249282766549155,0.550755065722299,0.488772858861602,0.251398335625052,0.829997603896669,0.00227358091008004,0.0141084987001383
"17",17,4.6544990555,-8.271028372,-5.4275957095,18.79199199,7.05370012,12.248990675,0.054474976,10.37067795,197.40853971156,78.5400075166,0.341966110957488,0.747689167743929,0.430076031641876,0.253480388304291,0.725321737229513,0.736914330787568,0.0661298958620782,0.393355579033737,0.169192654729185,0.00181397326398736
"18",18,12.200247895,-6.9612320875,1.771150839,19.81186091,4.9951364875,11.901559545,0.105446562,10.82730198,107.932115923708,76.3143049279,0.589706408670468,0.800985573119907,0.630006211656966,0.293012935094056,0.593404260851646,0.706342053229917,0.128006851514247,0.410675141996481,0.0925052241932018,0.0017625288941699
"19",19,11.66940805,-6.959718528,1.1419541395,19.78586887,4.4822953905,10.62958765,0.022654789,3.288534641,215.864231847417,46.0345643044,0.572277996456455,0.80104716077413,0.612531584852367,0.292005421758459,0.560540227779743,0.594414610748089,0.0275017805854078,0.124732775824271,0.185010448386404,0.00106265004129857
"20",20,12.03063089,-7.4943423725,1.259133402,19.851464915,5.830097095,11.91602903,0.013844542,2.108771563,25.7079436810838,39.0041474357,0.5841375820093,0.779292992223398,0.615785994614931,0.2945480805917,0.646910450544974,0.707615298697403,0.0168065814424254,0.0799848441165549,0.0220334705144281,0.000900150627764812
"21",21,12.12474871,-8.093251167,1.043624256,19.823744445,6.200910487,12.13681189,0.039170615,5.363679409,343.934957429462,31.8158920347,0.587227636719952,0.754923030060087,0.609800677301091,0.293473569195363,0.670673022713001,0.727043134297201,0.0475511671781839,0.203442169340388,0.29477584195033,0.00073400297125901
"22",22,12.4878001,-6.8150542615,-1.7757062995,19.515026615,4.18495071,9.908754266,0.155151859,15.43569756,54.5283873499711,294.347334401,0.599147256807608,0.806933637535473,0.531499647853039,0.281506931306928,0.541485699055602,0.530984720949588,0.188346595663995,0.585469704177193,0.046734566940838,0.00680209341531594
"23",23,14.270125215,-4.807453124,0.6717272925,18.50639032,4.599138226,10.683684357,0.067944355,9.937803268,236.541425457215,81.9662380319,0.65766414678147,0.888624145688288,0.599472014337521,0.2424097877976,0.568027784515249,0.599174862200971,0.0824810481892836,0.376936819140884,0.20273222113394,0.00189316635591431
"24",24,8.9286843615,-10.333767885,-5.6927885065,18.901627865,2.768218163,8.319241219,0.128187597,14.29455471,39.2492378815842,219.707030624,0.48229518401726,0.663755045643513,0.422710854484199,0.257730135770146,0.450698229894078,0.391115176000085,0.155613330429371,0.542186621944179,0.0336392881634476,0.00507687486622203
"25",25,15.074434355,-6.5503041515,-0.886631864,28.87601316,-0.4677623985,6.1351507035,0.058643837,9.765869141,17.5476389591948,868.921845131,0.68407104025688,0.817706480116318,0.556191837074977,0.644361050430958,0.243329177734883,0.1989256578907,0.0711906845771292,0.3704154279254,0.0150395298201054,0.0200826744631842
"26",26,7.9943335305,-6.2156924225,-2.247464933,19.6939213,4.8699826945,10.279180967,0.069046371,13.08636093,106.455770206599,18.5185640327,0.451618791526087,0.831322034354319,0.518397535161076,0.288441315095388,0.585384118908486,0.56358049875953,0.0838188404871333,0.496360325321318,0.0912398946814145,0.000426651637441082
"27",27,11.96237754,-7.839763079,0.973555441,19.962459695,5.339123519,11.38749454,0.033307079,3.550462484,343.934957429462,8.92187580587,0.581896703654007,0.76523761413389,0.607854662018846,0.298850502449765,0.615447738345264,0.661106791739286,0.0404331277858665,0.13466759193225,0.29477584195033,0.000204836027093847
"28",28,13.369947345,-7.1200708795,1.8929239815,18.74893494,5.125843871,11.126275055,0.06636028,8.10897541,83.1350235310586,98.8490551156,0.628109713119295,0.794522326317299,0.633388206860854,0.25181139456365,0.601780289604439,0.638120726561745,0.0805580603794731,0.307570125419899,0.07125241568954,0.00228339184696776
"29",29,13.483868105,-7.5894341795,-0.9631511325,18.281545465,5.3503256825,11.331071225,0.071168385,10.40491104,331.590522182132,42.2557304227,0.631849933420606,0.775423648911174,0.554066673892365,0.233694266051212,0.616165598660856,0.656141809911369,0.0863948593336193,0.3946540261559,0.284195814492146,0.000975306957511947
"30",30,14.3178457,-4.743230074,0.504520245,19.613500365,3.685762273,9.590711999,0.037883591,4.76325798,237.221142197035,54.2922318834,0.659230894815677,0.891237420552316,0.594828187126597,0.285324008240146,0.509496559732238,0.502998522758917,0.0459887844229901,0.18066842976355,0.203314784987773,0.00125351584112309
