EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
363,0.28,-18.74,-12.89,22.72,-6.33,3.06,0.07,26.56,324.43,1.64,0.35,0.56,0.39,0.46,0.37,0.39,0.09,0.33,0.28,0.00
364,2.98,-14.82,-9.45,20.80,-8.67,3.33,0.06,17.19,452.24,0.20,0.46,0.71,0.49,0.39,0.26,0.40,0.09,0.21,0.39,0.00
365,0.80,-17.66,-12.08,22.94,-5.86,2.56,0.05,17.38,196.63,18.74,0.37,0.60,0.42,0.47,0.39,0.35,0.07,0.21,0.17,0.00
366,0.97,-16.90,-11.65,22.04,-8.14,3.92,0.06,37.25,40.55,130.81,0.38,0.63,0.43,0.44,0.29,0.45,0.08,0.47,0.03,0.00
367,NA,NA,NA,NA,NA,NA,0.08,29.71,196.63,1.30,NA,NA,NA,NA,NA,NA,0.11,0.37,0.17,0.00
368,1.60,-16.72,-11.45,23.14,-5.65,2.64,0.07,27.05,8.19,60.07,0.41,0.64,0.43,0.48,0.40,0.36,0.09,0.34,0.01,0.00
369,0.31,-14.11,-9.99,20.50,-7.55,2.50,0.10,48.66,98.31,19.72,0.36,0.74,0.47,0.38,0.31,0.35,0.14,0.62,0.08,0.00
370,1.34,-17.02,-11.58,24.26,-5.37,3.13,0.05,18.43,16.39,5.39,0.40,0.62,0.43,0.52,0.41,0.39,0.07,0.23,0.01,0.00
371,1.47,-16.58,-11.20,23.29,-5.08,2.94,0.06,18.75,16.39,6.57,0.40,0.64,0.44,0.48,0.42,0.38,0.08,0.23,0.01,0.00
372,1.61,-14.63,-9.89,24.42,-4.84,3.78,0.07,21.15,16.39,3.18,0.41,0.72,0.48,0.53,0.43,0.44,0.09,0.26,0.01,0.00
373,1.38,-14.70,-10.00,23.55,-5.13,3.25,0.08,26.79,3.28,62.43,0.40,0.72,0.47,0.49,0.42,0.40,0.10,0.33,0.00,0.00
374,2.12,-15.95,-10.83,23.33,-5.17,2.77,0.09,26.78,2.73,228.13,0.43,0.67,0.45,0.49,0.42,0.37,0.12,0.33,0.00,0.01
375,2.72,-16.67,-10.96,22.77,-5.36,2.42,0.05,21.88,16.39,4.91,0.45,0.64,0.45,0.46,0.41,0.34,0.07,0.27,0.01,0.00
376,4.15,-15.37,-9.81,23.38,-4.64,2.72,0.08,24.00,0.00,57.97,0.51,0.69,0.48,0.49,0.44,0.36,0.10,0.30,0.00,0.00
377,3.11,-13.75,-8.72,23.59,-4.77,3.19,0.06,21.70,5.46,29.26,0.47,0.75,0.51,0.50,0.43,0.39,0.09,0.27,0.00,0.00
378,2.84,-12.61,-8.13,22.12,-5.44,3.26,0.03,14.57,16.39,5.78,0.45,0.80,0.53,0.44,0.40,0.40,0.04,0.18,0.01,0.00
379,3.42,-12.33,-7.60,21.88,-4.28,3.43,0.05,20.75,75.31,4.29,0.48,0.81,0.54,0.43,0.45,0.41,0.07,0.26,0.06,0.00
380,3.79,-16.34,-10.71,23.17,-4.87,2.82,0.06,20.36,0.00,673.63,0.49,0.65,0.45,0.48,0.43,0.37,0.09,0.25,0.00,0.02
